PO_Number,SKU,Supplier_ID,Location_ID,Order_Date,Expected_Arrival_Date,Actual_Arrival_Date,Quantity_Ordered,Quantity_Received,Status
PO-0016638,FUR-GEN-00169,sup-054,wh-001,2025-10-12,2025-11-20,2025-11-20,227,220,Delivered
PO-0016639,SER-SOL-00212,sup-142,wh-001,2026-04-23,2026-05-12,2026-05-12,99,90,Delivered
PO-0016640,FLO-FLO-00134,sup-164,wh-001,2026-06-23,2026-07-20,2026-07-20,83,73,Delivered
PO-0016641,REG-CON-00203,sup-027,str-001,2025-09-25,2025-10-28,2025-10-28,266,237,Delivered
PO-0016642,GRO-FOO-00698,sup-080,str-001,2025-11-28,2025-12-13,2025-12-13,435,115,Delivered
PO-0016643,FRE-PRO-00573,sup-115,str-001,2026-04-04,2026-04-05,2026-04-05,436,416,Delivered
PO-0016644,BAB-MAT-00121,sup-113,str-001,2026-08-05,2026-09-16,,124,,In-Transit
PO-0016645,GRO-FOO-00989,sup-121,wh-001,2026-04-19,2026-05-04,2026-05-04,172,136,Delivered
PO-0016646,BEV-GEN-00044,sup-050,wh-001,2025-10-10,2025-10-23,2025-10-23,318,287,Delivered
PO-0016647,ENT-EXP-00206,sup-106,wh-001,2025-11-21,2025-12-05,2025-12-05,319,307,Delivered
PO-0016648,MEA-SEA-00679,sup-174,str-001,2025-11-02,2025-11-04,2025-11-04,179,138,Delivered
PO-0016649,COM-MOB-00501,sup-108,str-001,2026-01-12,2026-03-09,2026-03-09,450,437,Delivered
PO-0016650,SER-SOL-00641,sup-013,wh-001,2025-12-17,2026-01-05,2026-01-05,165,159,Delivered
PO-0016651,COM-MOB-00450,sup-091,wh-001,2026-05-11,2026-07-06,2026-07-06,102,11,Delivered
PO-0016652,BEV-GEN-00902,sup-062,str-001,2026-05-04,2026-05-17,2026-05-17,233,225,Delivered
PO-0016653,PAP-DIS-00318,sup-027,wh-001,2026-02-14,2026-03-22,2026-03-22,323,286,Delivered
PO-0016654,GAR-OUT-00380,sup-054,wh-001,2025-11-15,2025-12-10,2025-12-10,488,469,Delivered
PO-0016655,MUS-INS-00236,sup-013,wh-001,2025-12-04,2026-01-01,2026-01-02,413,392,Delivered
PO-0016656,GRO-FOO-01116,sup-156,wh-001,2025-11-26,2025-12-11,2025-12-19,258,246,Delivered
PO-0016657,JEW-GEN-00510,sup-013,wh-001,2025-12-22,2026-01-14,2026-01-14,331,323,Delivered
PO-0016658,HEA-WEL-00171,sup-037,wh-001,2026-02-20,2026-03-10,2026-03-10,171,170,Delivered
PO-0016659,FUR-GEN-00597,sup-182,wh-001,2026-04-29,2026-06-07,2026-06-07,131,126,Delivered
PO-0016660,MUS-INS-00214,sup-063,str-001,2026-07-20,2026-08-17,2026-08-17,397,303,Delivered
PO-0016661,APP-CHI-00529,sup-154,wh-001,2026-07-21,2026-08-19,2026-08-19,225,199,Delivered
PO-0016662,PER-CAR-00557,sup-113,str-001,2026-03-13,2026-04-07,2026-04-07,410,305,Delivered
PO-0016663,APP-MEN-01140,sup-010,wh-001,2025-10-10,2025-10-24,2025-10-24,154,146,Delivered
PO-0016664,JEW-GEN-00772,sup-122,wh-001,2026-05-18,2026-06-10,2026-06-10,216,96,Delivered
PO-0016665,APP-MEN-01336,sup-052,str-001,2026-08-23,2026-09-06,2026-09-16,103,102,Delivered
PO-0016666,FUR-GEN-00199,sup-013,str-001,2025-09-20,2025-10-29,2025-10-29,497,472,Delivered
PO-0016667,HOM-APP-00711,sup-165,wh-001,2025-11-12,2026-01-28,2026-02-01,477,60,Delivered
PO-0016668,TOY-GEN-00174,sup-143,wh-001,2025-11-03,2025-12-18,2025-12-18,395,340,Delivered
PO-0016669,GAM-PUZ-00293,sup-088,wh-001,2026-09-08,2026-10-01,,410,,In-Transit
PO-0016670,HOU-CLE-00389,sup-164,wh-001,2026-04-08,2026-05-20,2026-05-28,396,373,Delivered
PO-0016671,GIF-LIF-00183,sup-017,str-001,2026-05-09,2026-05-24,2026-05-24,72,69,Delivered
PO-0016672,COL-SPE-00137,sup-099,str-001,2026-07-19,2026-08-08,2026-08-08,412,373,Delivered
PO-0016673,FUR-GEN-00747,sup-037,wh-001,2025-09-16,2025-10-25,2025-10-25,201,198,Delivered
PO-0016674,DAI-REF-00269,sup-067,wh-001,2026-04-14,2026-04-17,2026-04-17,128,95,Delivered
PO-0016675,GRO-FOO-02516,sup-062,str-001,2026-02-02,2026-02-17,2026-02-20,449,411,Delivered
PO-0016676,PER-CAR-00420,sup-090,wh-001,2025-09-18,2025-10-13,2025-10-20,362,290,Delivered
PO-0016677,REL-CUL-00088,sup-048,wh-001,2026-08-31,2026-09-27,,242,,In-Transit
PO-0016678,GIF-LIF-00104,sup-125,wh-001,2026-03-18,2026-04-02,2026-04-02,134,32,Delivered
PO-0016679,BAG-LUG-00150,sup-149,wh-001,2025-12-31,2026-01-16,2026-01-16,264,255,Delivered
PO-0016680,PER-CAR-00164,sup-188,wh-001,2026-06-14,2026-07-09,2026-07-09,135,129,Delivered
PO-0016681,FAS-ACC-00706,sup-197,wh-001,2025-12-28,2026-02-03,2026-02-03,120,108,Delivered
PO-0016682,MEA-SEA-00874,sup-128,str-001,2025-11-13,2025-11-15,2025-11-15,425,358,Delivered
PO-0016683,HOU-CLE-00316,sup-048,str-001,2025-10-09,2025-11-20,2025-11-20,155,142,Delivered
PO-0016684,ART-DEC-00050,sup-143,str-001,2026-05-08,2026-06-02,2026-06-02,197,161,Delivered
PO-0016685,PAR-CEL-00104,sup-162,wh-001,2026-06-15,2026-07-14,2026-07-14,199,189,Delivered
PO-0016686,BEV-GEN-00980,sup-044,wh-001,2026-05-27,2026-06-09,2026-06-12,192,148,Delivered
PO-0016687,KIT-DIN-00518,sup-099,wh-001,2025-10-23,2025-11-19,2025-11-19,282,250,Delivered
PO-0016688,SOL-SUS-00034,sup-017,str-001,2026-02-27,2026-04-06,2026-04-06,402,400,Delivered
PO-0016689,GRO-FOO-01468,sup-175,str-001,2025-09-24,2025-10-09,2025-10-09,308,258,Delivered
PO-0016690,PET-PET-00226,sup-003,str-001,2025-11-10,2025-11-26,2025-11-26,352,310,Delivered
PO-0016691,MEA-SEA-00554,sup-061,str-001,2025-10-19,2025-10-21,2025-10-22,224,170,Delivered
PO-0016692,FOO-GEN-00413,sup-149,str-001,2026-05-02,2026-06-09,2026-06-09,152,149,Delivered
PO-0016693,MEA-SEA-00884,sup-101,wh-001,2026-02-22,2026-02-24,2026-02-24,404,395,Delivered
PO-0016694,DAI-REF-00456,sup-083,wh-001,2025-09-20,2025-09-23,2025-09-23,475,455,Delivered
PO-0016695,BEV-GEN-00453,sup-070,str-001,2026-06-11,2026-06-24,2026-06-24,169,160,Delivered
PO-0016696,BOO-GEN-00351,sup-048,str-001,2025-10-05,2025-10-20,2025-10-20,276,259,Delivered
PO-0016697,BOO-GEN-00179,sup-037,str-001,2026-05-04,2026-05-19,2026-05-19,196,192,Delivered
PO-0016698,SER-SOL-00282,sup-185,wh-001,2026-04-30,2026-05-19,2026-05-19,221,179,Delivered
PO-0016699,GRO-FOO-01974,sup-181,wh-001,2026-08-24,2026-09-08,2026-09-08,329,247,Delivered
PO-0016700,BAK-CON-00010,sup-166,str-001,2025-12-26,2025-12-27,2026-01-02,344,276,Delivered
PO-0016701,GAR-OUT-00482,sup-185,str-001,2026-06-25,2026-07-20,2026-07-20,378,306,Delivered
PO-0016702,PRE-LUX-00265,sup-113,str-001,2025-10-24,2025-11-27,2025-11-27,418,303,Delivered
PO-0016703,DAI-REF-00072,sup-170,wh-001,2026-06-04,2026-06-07,2026-06-07,279,216,Delivered
PO-0016704,PER-CAR-00156,sup-127,str-001,2026-07-28,2026-08-22,2026-08-22,352,350,Delivered
PO-0016705,HAR-HOM-00097,sup-130,str-001,2025-12-12,2026-01-12,2026-01-12,128,96,Delivered
PO-0016706,SER-SOL-00444,sup-153,wh-001,2026-07-15,2026-08-03,2026-08-03,318,264,Delivered
PO-0016707,HAR-HOM-00043,sup-094,wh-001,2026-02-04,2026-03-07,2026-03-07,492,472,Delivered
PO-0016708,MEA-SEA-00793,sup-155,str-001,2025-10-09,2025-10-11,2025-10-14,390,361,Delivered
PO-0016709,COM-MOB-00077,sup-047,wh-001,2026-08-22,2026-10-17,,201,,In-Transit
PO-0016710,STA-OFF-00428,sup-113,wh-001,2026-08-15,2026-09-22,,214,,In-Transit
PO-0016711,HAR-HOM-00298,sup-130,wh-001,2026-06-09,2026-07-10,2026-07-16,65,50,Delivered
PO-0016712,SPE-ACC-00257,sup-173,str-001,2026-09-05,2026-10-19,,444,,In-Transit
PO-0016713,PET-PET-00531,sup-195,str-001,2026-05-25,2026-06-10,2026-06-10,216,212,Delivered
PO-0016714,ART-DEC-00095,sup-122,str-001,2026-01-03,2026-01-28,2026-01-28,459,385,Delivered
PO-0016715,SPE-ACC-00226,sup-039,str-001,2025-11-29,2026-01-12,2026-01-12,408,367,Delivered
PO-0016716,FOO-BEV-00394,sup-155,str-001,2026-04-20,2026-04-22,2026-04-22,135,116,Delivered
PO-0016717,GRO-FOO-02184,sup-121,str-001,2026-02-14,2026-03-01,2026-03-01,433,346,Delivered
PO-0016718,APP-CHI-00140,sup-046,str-001,2026-04-16,2026-05-15,2026-05-15,473,376,Delivered
PO-0016719,APP-CHI-00507,sup-029,wh-001,2025-11-12,2025-12-11,2025-12-11,262,195,Delivered
PO-0016720,BEV-GEN-00601,sup-051,str-001,2026-01-12,2026-01-25,2026-01-25,385,349,Delivered
PO-0016721,APP-WOM-00635,sup-107,wh-001,2026-06-29,2026-07-22,2026-07-22,468,394,Delivered
PO-0016722,COM-MOB-00649,sup-158,wh-001,2025-09-28,2025-11-23,2025-11-23,276,217,Delivered
PO-0016723,FAS-ACC-00351,sup-086,wh-001,2025-11-29,2026-01-05,2026-01-05,408,393,Delivered
PO-0016724,APP-MEN-00714,sup-197,str-001,2026-03-18,2026-04-01,2026-04-01,95,80,Delivered
PO-0016725,CON-ELE-00686,sup-157,wh-001,2026-08-30,2026-10-08,,444,,In-Transit
PO-0016726,BIC-PER-00122,sup-185,wh-001,2025-11-19,2025-12-25,2026-01-05,482,390,Delivered
PO-0016727,FOO-BEV-00208,sup-056,wh-001,2026-03-29,2026-03-31,2026-03-31,112,94,Delivered
PO-0016728,ELE-LIG-00202,sup-063,wh-001,2026-01-12,2026-02-08,2026-02-08,500,400,Delivered
PO-0016729,HOU-CLE-00219,sup-127,str-001,2025-12-01,2026-01-12,2026-01-12,172,165,Delivered
PO-0016730,FUR-GEN-00368,sup-099,wh-001,2026-02-01,2026-03-12,2026-03-12,289,248,Delivered
PO-0016731,GRO-FOO-01513,sup-044,wh-001,2026-03-13,2026-03-28,2026-04-11,81,69,Delivered
PO-0016732,HOM-APP-00893,sup-180,str-001,2025-11-23,2026-02-08,2026-02-09,122,35,Delivered
PO-0016733,FOO-GEN-00107,sup-163,wh-001,2025-10-08,2025-11-15,2025-11-15,496,448,Delivered
PO-0016734,GRO-FOO-01313,sup-073,wh-001,2026-07-17,2026-08-01,2026-08-01,369,122,Delivered
PO-0016735,TRA-PRO-00185,sup-027,wh-001,2026-04-06,2026-05-15,2026-05-15,382,331,Delivered
PO-0016736,REL-CUL-00029,sup-142,str-001,2026-08-05,2026-09-01,2026-09-01,335,298,Delivered
PO-0016737,BEV-GEN-00225,sup-068,str-001,2026-02-20,2026-03-05,2026-03-05,168,159,Delivered
PO-0016738,BAK-CON-00950,sup-034,wh-001,2026-05-06,2026-05-07,2026-05-07,174,159,Delivered
PO-0016739,SOL-SUS-00280,sup-110,wh-001,2026-09-06,2026-10-14,,58,,In-Transit
PO-0016740,CON-ELE-00550,sup-176,str-001,2026-03-06,2026-04-14,2026-04-14,100,76,Delivered
PO-0016741,BIC-PER-00337,sup-088,wh-001,2026-07-23,2026-08-28,2026-08-28,257,239,Delivered
PO-0016742,BIC-PER-00010,sup-106,str-001,2026-07-06,2026-08-11,2026-08-11,102,97,Delivered
PO-0016743,HOU-CLE-00661,sup-027,str-001,2026-03-17,2026-04-28,2026-04-28,376,312,Delivered
PO-0016744,OFF-BUS-00473,sup-013,wh-001,2026-07-10,2026-08-07,2026-08-11,300,295,Delivered
PO-0016745,HOU-CLE-00710,sup-143,wh-001,2026-02-16,2026-03-30,2026-03-30,89,72,Delivered
PO-0016746,BOO-GEN-00361,sup-172,str-001,2026-07-13,2026-07-28,2026-07-28,185,182,Delivered
PO-0016747,BEA-COS-00357,sup-173,str-001,2025-11-22,2025-12-19,2025-12-29,390,328,Delivered
PO-0016748,GAR-OUT-00402,sup-048,wh-001,2025-11-14,2025-12-09,2025-12-09,486,485,Delivered
PO-0016749,PAP-DIS-00237,sup-182,wh-001,2026-06-21,2026-07-27,2026-07-27,419,409,Delivered
PO-0016750,SEW-TEX-00016,sup-162,str-001,2026-08-17,2026-09-04,2026-09-04,376,341,Delivered
PO-0016751,HAR-HOM-00692,sup-063,wh-001,2025-09-23,2025-10-24,2025-10-24,401,300,Delivered
PO-0016752,REG-CON-00122,sup-057,wh-001,2026-03-13,2026-04-15,2026-04-15,51,47,Delivered
PO-0016753,COL-SPE-00079,sup-130,str-001,2025-10-14,2025-11-03,2025-11-03,383,317,Delivered
PO-0016754,JEW-GEN-00812,sup-048,str-001,2026-04-14,2026-05-07,2026-05-07,78,73,Delivered
PO-0016755,SPE-PRO-00397,sup-182,wh-001,2026-05-13,2026-06-27,2026-06-27,353,327,Delivered
PO-0016756,BEA-COS-00352,sup-099,wh-001,2026-04-13,2026-05-10,2026-05-10,208,182,Delivered
PO-0016757,FRE-PRO-00884,sup-140,str-001,2025-11-17,2025-11-18,2025-11-18,252,196,Delivered
PO-0016758,APP-WOM-00082,sup-144,wh-001,2026-08-08,2026-08-31,2026-08-31,182,156,Delivered
PO-0016759,SPO-FIT-00079,sup-173,wh-001,2025-09-25,2025-11-07,2025-11-07,157,132,Delivered
PO-0016760,SOL-SUS-00261,sup-094,wh-001,2026-01-03,2026-02-10,2026-02-10,125,114,Delivered
PO-0016761,DIG-NON-00057,sup-185,str-001,2025-11-08,2025-11-22,2025-11-22,410,158,Delivered
PO-0016762,COM-MOB-00503,sup-098,str-001,2025-12-20,2026-02-14,2026-02-28,129,116,Delivered
PO-0016763,FRE-PRO-00137,sup-115,wh-001,2026-07-19,2026-07-20,2026-07-20,160,146,Delivered
PO-0016764,PAI-DEC-00332,sup-071,str-001,2025-12-02,2026-01-09,2026-01-22,498,420,Delivered
PO-0016765,PAC-SHI-00132,sup-089,wh-001,2026-08-22,2026-09-23,,209,,In-Transit
PO-0016766,PAP-DIS-00172,sup-063,wh-001,2026-08-25,2026-09-30,,381,,In-Transit
PO-0016767,GRO-FOO-02034,sup-053,wh-001,2025-12-08,2025-12-23,2025-12-23,488,366,Delivered
PO-0016768,HAR-HOM-00463,sup-037,wh-001,2026-05-08,2026-06-08,2026-06-08,298,288,Delivered
PO-0016769,FRE-PRO-01547,sup-040,wh-001,2026-07-13,2026-07-14,2026-07-20,218,157,Delivered
PO-0016770,SMA-HOM-00124,sup-047,str-001,2025-10-21,2026-01-13,2026-01-13,226,189,Delivered
PO-0016771,FOO-GEN-00485,sup-116,wh-001,2026-05-30,2026-07-07,2026-07-07,304,257,Delivered
PO-0016772,HEA-WEL-00611,sup-100,str-001,2026-08-22,2026-09-09,2026-09-09,404,340,Delivered
PO-0016773,HEA-WEL-00117,sup-039,str-001,2026-01-17,2026-02-04,2026-02-04,347,307,Delivered
PO-0016774,PAC-SHI-00006,sup-162,str-001,2025-10-01,2025-11-02,2025-11-02,226,219,Delivered
PO-0016775,TOY-GEN-00064,sup-066,wh-001,2026-03-11,2026-04-25,2026-04-29,404,311,Delivered
PO-0016776,FOO-GEN-00128,sup-116,wh-001,2026-01-01,2026-02-08,2026-02-08,66,57,Delivered
PO-0016777,HAR-HOM-00161,sup-135,wh-001,2025-10-03,2025-11-03,2025-11-05,376,307,Delivered
PO-0016778,MEA-SEA-00730,sup-174,str-001,2026-02-28,2026-03-02,2026-03-12,388,302,Delivered
PO-0016779,FUR-GEN-00199,sup-013,str-001,2026-01-02,2026-02-10,2026-02-10,187,178,Delivered
PO-0016780,APP-MEN-00232,sup-086,wh-001,2026-09-06,2026-09-20,,186,,In-Transit
PO-0016781,HOM-APP-00317,sup-199,str-001,2025-11-27,2026-02-12,2026-02-12,226,219,Delivered
PO-0016782,BEA-COS-00702,sup-162,str-001,2026-03-16,2026-04-12,2026-04-12,91,84,Delivered
PO-0016783,KIT-DIN-00059,sup-039,str-001,2026-05-08,2026-06-04,2026-06-09,472,427,Delivered
PO-0016784,TOY-GEN-00459,sup-182,wh-001,2025-10-11,2025-11-25,2025-11-25,135,128,Delivered
PO-0016785,HOM-FUR-00267,sup-099,wh-001,2026-04-23,2026-06-07,2026-06-07,65,60,Delivered
PO-0016786,APP-MEN-00969,sup-146,wh-001,2026-05-06,2026-05-20,2026-05-20,158,136,Delivered
PO-0016787,PAC-SHI-00067,sup-113,str-001,2026-07-14,2026-08-15,2026-08-15,76,54,Delivered
PO-0016788,FRO-REA-00102,sup-004,wh-001,2025-10-04,2025-10-13,2025-10-13,144,110,Delivered
PO-0016789,SPO-FIT-00252,sup-172,wh-001,2026-03-02,2026-04-14,2026-04-14,453,433,Delivered
PO-0016790,PAR-CEL-00157,sup-063,wh-001,2025-10-03,2025-11-01,2025-11-01,107,79,Delivered
PO-0016791,FOO-GEN-01138,sup-149,wh-001,2026-08-23,2026-09-30,,70,,In-Transit
PO-0016792,DIG-NON-00070,sup-039,str-001,2026-09-11,2026-09-25,,389,,In-Transit
PO-0016793,APP-MEN-01088,sup-190,str-001,2026-03-29,2026-04-12,2026-04-12,126,124,Delivered
PO-0016794,BAB-MAT-00551,sup-088,str-001,2026-08-12,2026-09-23,,343,,In-Transit
PO-0016795,FRO-REA-00336,sup-147,str-001,2026-06-24,2026-07-03,2026-07-03,452,414,Delivered
PO-0016796,ENT-MED-00214,sup-185,wh-001,2026-09-12,2026-10-03,,76,,In-Transit
PO-0016797,AUT-GEN-00084,sup-054,str-001,2025-09-21,2025-10-21,2025-10-21,280,277,Delivered
PO-0016798,STA-OFF-00262,sup-064,str-001,2025-12-22,2026-01-29,2026-01-29,118,99,Delivered
PO-0016799,AUT-GEN-00010,sup-027,wh-001,2026-02-14,2026-03-16,2026-03-16,110,94,Delivered
PO-0016800,BIC-PER-00250,sup-048,str-001,2025-12-27,2026-02-01,2026-02-13,412,378,Delivered
PO-0016801,FAS-ACC-00639,sup-085,wh-001,2026-01-24,2026-03-02,2026-03-14,193,173,Delivered
PO-0016802,GAR-OUT-00642,sup-113,wh-001,2026-03-24,2026-04-18,2026-04-27,295,208,Delivered
PO-0016803,BOO-GEN-00007,sup-048,wh-001,2026-06-15,2026-06-30,2026-06-30,259,240,Delivered
PO-0016804,BAB-MAT-00518,sup-071,wh-001,2026-01-12,2026-02-23,2026-02-23,277,135,Delivered
PO-0016805,STA-OFF-00385,sup-024,str-001,2025-10-28,2025-12-05,2025-12-09,184,146,Delivered
PO-0016806,JEW-GEN-00329,sup-110,wh-001,2026-04-09,2026-05-02,2026-05-02,469,69,Delivered
PO-0016807,SAF-SEC-00296,sup-024,wh-001,2026-02-16,2026-03-31,2026-03-31,489,384,Delivered
PO-0016808,KIT-DIN-00746,sup-185,str-001,2026-06-13,2026-07-10,2026-07-10,126,40,Delivered
PO-0016809,SER-SOL-00760,sup-054,str-001,2026-04-07,2026-04-26,2026-04-26,359,357,Delivered
PO-0016810,GRO-FOO-01933,sup-191,wh-001,2026-01-31,2026-02-15,2026-02-15,178,52,Delivered
PO-0016811,FES-SEA-00505,sup-188,wh-001,2026-02-07,2026-02-26,2026-02-26,444,417,Delivered
PO-0016812,HAR-HOM-00001,sup-013,wh-001,2026-01-05,2026-02-05,2026-02-05,425,152,Delivered
PO-0016813,HOM-FUR-00109,sup-063,wh-001,2026-01-20,2026-03-06,2026-03-07,407,310,Delivered
PO-0016814,SER-SOL-00545,sup-130,wh-001,2026-09-12,2026-10-01,,312,,In-Transit
PO-0016815,APP-MEN-00436,sup-021,wh-001,2026-03-04,2026-03-18,2026-03-18,326,299,Delivered
PO-0016816,PRE-LUX-00209,sup-142,str-001,2026-08-10,2026-09-13,2026-09-18,439,409,Delivered
PO-0016817,SER-SOL-00007,sup-039,str-001,2025-11-11,2025-11-30,2025-11-30,51,47,Delivered
PO-0016818,BEA-COS-00164,sup-027,wh-001,2026-06-08,2026-07-05,2026-07-05,59,49,Delivered
PO-0016819,APP-WOM-01590,sup-177,str-001,2026-07-17,2026-08-09,2026-08-09,377,332,Delivered
PO-0016820,FOO-BEV-00067,sup-007,wh-001,2026-02-08,2026-02-10,2026-02-10,364,262,Delivered
PO-0016821,WAT-TIM-00171,sup-135,str-001,2026-03-05,2026-03-28,2026-03-28,106,87,Delivered
PO-0016822,REL-CUL-00313,sup-090,wh-001,2026-04-24,2026-05-21,2026-05-21,100,80,Delivered
PO-0016823,CON-ELE-00001,sup-072,str-001,2025-12-03,2026-01-11,2026-01-11,172,140,Delivered
PO-0016824,APP-WOM-00161,sup-151,wh-001,2026-02-26,2026-03-21,2026-03-21,338,271,Delivered
PO-0016825,SAF-SEC-00066,sup-089,str-001,2025-09-14,2025-10-27,2025-10-27,259,204,Delivered
PO-0016826,APP-MEN-00662,sup-131,wh-001,2025-12-13,2025-12-27,2025-12-27,392,333,Delivered
PO-0016827,SAF-SEC-00172,sup-143,str-001,2025-11-10,2025-12-23,2025-12-24,116,97,Delivered
PO-0016828,HEA-WEL-00189,sup-135,str-001,2025-09-20,2025-10-08,2025-10-16,66,54,Delivered
PO-0016829,ART-DEC-00283,sup-122,wh-001,2026-06-02,2026-06-27,2026-06-27,267,207,Delivered
PO-0016830,KIT-DIN-00536,sup-122,str-001,2026-04-06,2026-05-03,2026-05-03,265,213,Delivered
PO-0016831,DAI-REF-00470,sup-183,str-001,2026-08-30,2026-09-02,2026-09-13,202,183,Delivered
PO-0016832,PER-CAR-00217,sup-066,wh-001,2026-01-25,2026-02-19,2026-02-19,306,237,Delivered
PO-0016833,CON-ELE-00718,sup-134,wh-001,2025-09-16,2025-10-25,2025-10-25,246,220,Delivered
PO-0016834,APP-WOM-00960,sup-144,str-001,2026-04-29,2026-05-22,2026-05-22,325,273,Delivered
PO-0016835,BAB-MAT-00688,sup-090,wh-001,2026-08-13,2026-09-24,,425,,In-Transit
PO-0016836,CON-ELE-00694,sup-133,str-001,2025-12-28,2026-02-05,2026-02-05,388,358,Delivered
PO-0016837,FRE-PRO-00884,sup-140,wh-001,2026-03-19,2026-03-20,2026-03-20,65,50,Delivered
PO-0016838,APP-WOM-00795,sup-111,wh-001,2026-04-23,2026-05-16,2026-05-16,307,300,Delivered
PO-0016839,COL-SPE-00051,sup-162,wh-001,2026-07-24,2026-08-13,2026-08-13,132,131,Delivered
PO-0016840,TOY-GEN-00196,sup-017,str-001,2026-04-15,2026-05-30,2026-05-30,443,428,Delivered
PO-0016841,ELE-LIG-00408,sup-088,str-001,2026-04-29,2026-05-26,2026-05-26,250,235,Delivered
PO-0016842,COL-SPE-00317,sup-100,wh-001,2026-08-10,2026-08-30,2026-08-30,198,151,Delivered
PO-0016843,BAK-CON-00465,sup-183,str-001,2026-04-13,2026-04-14,2026-04-21,448,388,Delivered
PO-0016844,GRO-FOO-01882,sup-051,wh-001,2026-08-21,2026-09-05,2026-09-05,473,462,Delivered
PO-0016845,BOO-GEN-00263,sup-099,wh-001,2026-02-22,2026-03-09,2026-03-09,438,378,Delivered
PO-0016846,HOB-ART-00157,sup-013,wh-001,2026-07-29,2026-08-23,2026-08-23,74,70,Delivered
PO-0016847,FOO-GEN-00795,sup-059,str-001,2025-10-13,2025-11-20,2025-11-20,99,81,Delivered
PO-0016848,FRE-PRO-00602,sup-079,wh-001,2026-04-16,2026-04-17,2026-04-17,74,73,Delivered
PO-0016849,CON-ELE-00117,sup-167,wh-001,2026-09-07,2026-10-16,,396,,In-Transit
PO-0016850,FAS-ACC-00655,sup-197,wh-001,2026-05-08,2026-06-14,2026-06-14,141,121,Delivered
PO-0016851,PER-CAR-00676,sup-054,str-001,2026-08-06,2026-08-31,2026-08-31,85,81,Delivered
PO-0016852,FOO-GEN-00481,sup-111,wh-001,2026-06-17,2026-07-25,2026-07-25,453,105,Delivered
PO-0016853,BEV-GEN-00343,sup-033,str-001,2026-04-05,2026-04-18,2026-04-18,171,162,Delivered
PO-0016854,BEA-COS-00771,sup-013,wh-001,2026-07-29,2026-08-25,2026-08-25,97,90,Delivered
PO-0016855,FOO-GEN-00383,sup-103,str-001,2026-03-24,2026-05-01,2026-05-01,213,191,Delivered
PO-0016856,BEA-COS-00688,sup-125,wh-001,2025-09-16,2025-10-13,2025-10-13,227,212,Delivered
PO-0016857,HEA-WEL-00058,sup-090,str-001,2026-04-17,2026-05-05,2026-05-05,328,288,Delivered
PO-0016858,SPE-ACC-00225,sup-064,wh-001,2026-02-25,2026-04-10,2026-04-10,252,218,Delivered
PO-0016859,BOO-GEN-00390,sup-024,wh-001,2026-05-01,2026-05-16,2026-05-16,409,314,Delivered
PO-0016860,STA-OFF-00054,sup-063,wh-001,2026-03-14,2026-04-21,2026-04-21,335,274,Delivered
PO-0016861,COL-SPE-00168,sup-024,wh-001,2026-06-19,2026-07-09,2026-07-20,61,45,Delivered
PO-0016862,APP-MEN-01211,sup-045,str-001,2026-09-06,2026-09-20,,469,,In-Transit
PO-0016863,GRO-FOO-02294,sup-011,wh-001,2026-09-14,2026-09-29,,113,,In-Transit
PO-0016864,JEW-GEN-00702,sup-035,str-001,2025-11-29,2025-12-22,2025-12-22,404,310,Delivered
PO-0016865,ART-DEC-00031,sup-088,wh-001,2026-07-07,2026-08-01,2026-08-01,420,403,Delivered
PO-0016866,SPE-PRO-00527,sup-185,str-001,2026-06-07,2026-07-22,2026-07-22,431,377,Delivered
PO-0016867,KIT-DIN-00565,sup-125,wh-001,2026-05-26,2026-06-22,2026-06-22,202,194,Delivered
PO-0016868,BAK-CON-00251,sup-061,str-001,2025-11-17,2025-11-18,2025-11-18,180,137,Delivered
PO-0016869,BIC-PER-00239,sup-054,str-001,2026-05-24,2026-06-29,2026-06-29,171,170,Delivered
PO-0016870,FAS-ACC-00447,sup-104,wh-001,2025-12-25,2026-01-31,2026-01-31,171,165,Delivered
PO-0016871,GRO-FOO-00023,sup-193,str-001,2026-06-29,2026-07-14,2026-07-14,81,79,Delivered
PO-0016872,ELE-LIG-00043,sup-135,str-001,2026-06-14,2026-07-11,2026-07-11,117,89,Delivered
PO-0016873,MUS-INS-00090,sup-106,wh-001,2026-04-09,2026-05-07,2026-05-07,88,86,Delivered
PO-0016874,FAS-ACC-00489,sup-154,str-001,2026-08-25,2026-10-01,,71,,In-Transit
PO-0016875,APP-MEN-01269,sup-042,wh-001,2026-03-01,2026-03-15,2026-03-15,400,337,Delivered
PO-0016876,BEV-GEN-00460,sup-060,wh-001,2026-06-04,2026-06-17,2026-06-17,305,253,Delivered
PO-0016877,SEW-TEX-00063,sup-048,wh-001,2026-05-02,2026-05-20,2026-05-20,398,381,Delivered
PO-0016878,GRO-FOO-02690,sup-138,wh-001,2025-11-10,2025-11-25,2025-12-04,84,63,Delivered
PO-0016879,PAR-CEL-00272,sup-106,wh-001,2026-05-08,2026-06-06,2026-06-06,380,365,Delivered
PO-0016880,FUR-GEN-00524,sup-130,wh-001,2025-09-30,2025-11-08,2025-11-08,409,345,Delivered
PO-0016881,SPO-FIT-00240,sup-094,wh-001,2026-03-09,2026-04-21,2026-05-04,334,315,Delivered
PO-0016882,FAS-ACC-00260,sup-084,str-001,2025-11-16,2025-12-23,2025-12-23,327,309,Delivered
